id,contact_id,outreach_datetime,outreach_medium,rep_id,notes
51,140,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
52,379,2025-12-01 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
53,379,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
54,963,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
55,963,2025-12-02 12:00,Call,1,Status: Reached out; Source: 11.15 Similar to Master G
56,963,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
57,588,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
58,588,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
59,185,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
60,328,2025-12-20 12:00,Letter,1,Notes: Letter status: Closed; Source: 11.15 Similar to Master G
61,87,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
62,889,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
63,547,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
64,568,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
65,130,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
66,809,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
67,233,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
68,475,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
69,447,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
70,236,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
71,388,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
72,153,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
73,779,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
74,985,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
75,295,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
76,295,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
77,421,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
78,30,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
79,205,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
80,270,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
81,27,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
82,538,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
83,505,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
84,424,2025-11-26 12:00,Email,1,Source: 11.15 Similar to Master G
85,763,2026-02-12 12:00,Email,1,Source: 11.15 Similar to Master G
86,562,2025-12-20 12:00,Letter,1,Notes: Letter status: Closed; Source: 11.15 Similar to Master G
87,1005,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
88,735,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
89,735,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter Sent; Source: 11.15 Similar to Master G
90,613,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
91,200,2026-02-18 12:00,Email,2,Status: Reahed out; Source: 11.15 Similar to Master G
92,127,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
93,678,2025-12-01 12:00,Email,1,Source: 11.15 Similar to Master G
94,624,2025-12-20 12:00,Letter,1,Notes: Letter status: Too robust (ecommerce); Source: 11.15 Similar to Master G
95,904,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
96,53,2025-12-03 12:00,Email,1,Source: 11.15 Similar to Master G
97,215,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
99,525,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
102,993,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
103,54,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
104,54,2026-01-08 12:00,Call,1,Notes: Operator: Alejandra; Voicemail; Source: Letters
105,54,2026-01-26 12:00,Call,1,Notes: Operator: Alejandra; Alejandra said she would give him my number and tell him to call me.; Source: Letters
106,724,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
107,724,2026-01-08 12:00,Call,1,Notes: Voicemail box full; Source: Letters
108,809,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
109,809,2026-01-08 12:00,Call,1,Notes: cs@harborwholesale.com; Source: Letters
110,278,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
111,278,2026-01-08 12:00,Call,1,Notes: dawng@swwest.com; Source: Letters
112,783,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
113,783,2026-01-08 12:00,Call,1,Notes: Operator: Erica; Talk tomorrow morning before noon; Source: Letters
114,783,2026-01-12 12:00,Call,1,Notes: Operator: Erica; Already left before 10; Source: Letters
115,935,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
116,935,2026-01-08 12:00,Call,1,Notes: Operator: Mateo; Call back Friday; Source: Letters
117,935,2026-01-12 12:00,Call,1,"Notes: Operator: Mateo; Usually arrives after 10 AM Mountain Time, Call Back in afternoon.

Called in the afternoon, he wasn't around. Gave my number for him to call back.; Source: Letters"
118,935,2026-01-26 12:00,Call,1,"Notes: Operator: Mateo; Left, call after 9:30.; Source: Letters"
119,861,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Status: DO NOT CONTACT; Source: Letters
120,861,2026-01-08 12:00,Call,1,"Notes: Said they are set with software and asked to send an email. 

annmarie@hdiwholesale.com

Sent 1/13

Ann requested we no longer contact.; Source: Letters"
121,63,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
122,63,2026-01-08 12:00,Call,1,Notes: Andrew Choi is wrong contact; Source: Letters
123,276,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
124,276,2026-01-08 12:00,Call,1,"Notes: Acquired by b2b industrial packaging

1 877 222 5747; Source: Letters"
125,680,2025-12-20 12:00,Letter,1,Notes: Type: Reaching out again; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
126,680,2026-01-08 12:00,Call,1,Notes: Operator: Millie; Didn't receive the letter?; Source: Letters
127,680,2026-01-26 12:00,Call,1,Notes: Operator: Millie; Matt is available mornings before 11 AM (except Wednesdays).; Source: Letters
128,680,2026-01-27 12:00,Call,1,Notes: Operator: Millie; Matt stepped out early because they are cleaning the office. Millie suggested I call back Thursday as he'll be in-office.; Source: Letters
129,680,2026-01-29 12:00,Call,1,Notes: Operator: Millie; Said he didn't have time and to send him an email.; Source: Letters
130,130,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
131,130,2026-01-12 12:00,Call,1,"Notes: Instantly asked, ""What's in it for me?"" Seemed hesitant. Said he could make 15 minutes of time if I met in person. Trying to call instead.; Source: Letters"
132,923,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
133,923,2026-01-12 12:00,Call,1,Notes: Operator: Ashley; Left a voicemail; Source: Letters
134,923,Call 3 Notes 12:00,Call,1,"Notes: Operator: Ashley; Ashley is Susan's ""other half."" They only have about 50 SKUs, and so they're happy to keep things manual (in spreadsheets, shopify). Interested in getting support as they grow.; Source: Letters"
135,588,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
136,588,2026-01-12 12:00,Call,1,"Notes: Operator: Derek; ""He's not in right now. He comes in and out."" Dodgy.; Source: Letters"
137,765,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
138,765,2026-01-12 12:00,Call,1,Notes: Operator: Stephanie; Said they'd call or email back.; Source: Letters
139,527,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
140,527,2026-01-12 12:00,Call,1,Notes: EXT 324; Source: Letters
141,963,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
142,963,2026-01-12 12:00,Call,1,"Notes: Trevor arrives 2 3 o clock in the morning, leaves by 10 am (Hot chocolate spilled everywhere); Source: Letters"
143,801,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
144,801,2026-01-12 12:00,Call,1,"Notes: Operator: Zaineb; Call back after 2 PM.

Confirmed he got the letter and said he'd get back to us.; Source: Letters"
145,933,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
146,933,2026-01-12 12:00,Call,1,Notes: Number did not work.; Source: Letters
147,293,2025-12-20 12:00,Letter,1,Notes: Type: Reaching out again; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
148,293,2026-01-12 12:00,Call,1,Notes: Said he is happy with his software. We agreed to a short chat mid day next monday.; Source: Letters
149,203,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
150,203,2026-01-21 12:00,Call,1,Notes: Agreed to have a meeting later. Said he would email me.; Source: Letters
151,295,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
152,295,2026-01-22 12:00,Call,1,Notes: Voicemail; Source: Letters
153,295,2026-01-26 12:00,Call,1,Notes: Voicemail; Source: Letters
154,505,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
155,505,2026-01-22 12:00,Call,1,"Notes: Said ""he is not working here right now""; Source: Letters"
156,111,2025-12-20 12:00,Letter,1,Notes: Type: Industrials; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
157,111,2026-01-22 12:00,Call,1,"Notes: Operator: Ben; Barry will be around Friday, maybe next week; Source: Letters"
158,688,2025-12-20 12:00,Letter,1,Notes: Type: Industrials; Letter Status: Sent; Hot Chocolate: No; Source: Letters
159,688,2026-01-22 12:00,Call,1,Notes: Said he is happy with software. Didn't want to talk about their operation.; Source: Letters
160,406,2025-12-20 12:00,Letter,1,Notes: Type: Industrials; Letter Status: Sent; Hot Chocolate: No; Source: Letters
161,406,2026-01-22 12:00,Call,1,Notes: Operator: Karina; Greg is gone for the day; Source: Letters
162,597,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Status: Got a return call after calling.; Source: Letters
163,597,2026-01-22 12:00,Call,1,Notes: Left a voicemail; Source: Letters
164,653,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Status: Letter returned.; Source: Letters
165,653,2026-01-22 12:00,Call,1,Notes: Left a voicemail; Source: Letters
166,332,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
167,332,2026-01-22 12:00,Call,1,Notes: Left a voicemail; Source: Letters
168,308,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
169,308,2026-01-22 12:00,Call,1,Notes: He was out for the day; Source: Letters
170,770,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
171,770,2026-01-22 12:00,Call,1,"Notes: I talked with Paul directly. His son set up the order history system (he and his son are the managers). Makes it easy for them to look through previous orders and get them out the door. Said there's ""no point"" in tracking inventory through a system given the workarounds needed. Was most concerned about workforce management. Wrong placements, damaged inventory, mispicks.; Source: Letters"
172,735,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
173,735,2026-01-22 12:00,Call,1,"Notes: Operator: Nasir is the operator, not Mutahar; Has an app and website but customers don't use it. Uses SAP on the backend.; Source: Letters"
174,608,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
175,608,2026-01-22 12:00,Call,1,"Notes: Said he didn't receive letter. ""Whatever it is, I'm not interested.""; Source: Letters"
176,374,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
177,374,2026-01-22 12:00,Call,1,Notes: Operator: Anu; Email at gary@sahnient.com; Source: Letters
178,89,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
179,89,2026-01-22 12:00,Call,1,Notes: Operator: Karina; araceli@chicagopallet.com (need to make an appointment since she's in and out); Source: Letters
180,639,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
181,639,2026-01-22 12:00,Call,1,Notes: Operator: Jessica; He is remote. lukasz@allmaterialhandling.com; Source: Letters
182,547,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
183,547,2026-01-23 12:00,Call,1,"Notes: ext 214
Left a voicemail; Source: Letters"
184,30,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
185,30,2026-01-23 12:00,Call,1,Notes: Left a voicemail; Source: Letters
186,30,2026-01-26 12:00,Call,1,"Notes: Voicemail
(Phone tree, no one available); Source: Letters"
187,87,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
188,87,2026-01-23 12:00,Call,1,"Notes: Operator: Harika; Cal back on Monday 1/26, after 11 AM; Source: Letters"
189,87,2026-01-26 12:00,Call,1,Notes: Operator: Harika; Says he's happy with his solution and will reach out if anything changes.; Source: Letters
190,27,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
191,27,2026-01-23 12:00,Call,1,Notes: Operator: Vanessa; Left name and number with his assistant.; Source: Letters
192,361,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
193,361,2026-01-23 12:00,Call,1,Notes: Voicemail not set up; Source: Letters
194,865,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
195,865,2026-01-23 12:00,Call,1,Notes: Left a voicemail; Source: Letters
196,446,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
197,446,2026-01-23 12:00,Call,1,Notes: Operator: Ashley; Call back on Monday 1/26; Source: Letters
198,726,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
199,726,2026-01-23 12:00,Call,1,Notes: Operator: Jack; Mohmednadim is out of country indefinitely. Call back in late February.; Source: Letters
200,733,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
201,733,2026-01-23 12:00,Call,1,"Notes: Operator: Symbol; Got in touch with Muhammad, apparently he is not the owner. He said to reach out to orders@akwholesale.com; Source: Letters"
202,815,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
203,815,2026-01-23 12:00,Call,1,Notes: Operator: Rajesh; Rizwan is in Pakistan until next month.; Source: Letters
204,587,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
205,587,2026-01-23 12:00,Call,1,Notes: Operator: Hannah; Hannah said she would look through the mail and get my letter to Kevin.; Source: Letters
206,35,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
207,35,2026-01-23 12:00,Call,1,Notes: Spoke with Alim directly. He seemed very interested in app. Said we can talk next week after he looks at our website.; Source: Letters
208,779,2025-12-20 12:00,Letter,1,Notes: Type: Invitation to meet; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
209,779,2026-01-23 12:00,Call,1,"Notes: Left a voicemail.

Seems they prefer contact via email.; Source: Letters"
210,958,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
211,958,2026-01-26 12:00,Call,1,Notes: Voicemail; Source: Letters
212,233,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
213,233,2026-01-26 12:00,Call,1,"Notes: Operator: Rachel; Ext 1243
Voicemail; Source: Letters"
214,388,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
215,388,2026-01-26 12:00,Call,1,Notes: Operator: Kelly (Actual owner); Going out of business due to a lawsuit / debts.; Source: Letters
216,985,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: No; Source: Letters
217,985,2026-01-26 12:00,Call,1,"Notes: Operator: Lou; Email to reach out:
itpartnerinfo@sgws.com

customerservice@sgproof.com; Source: Letters"
218,270,2025-12-20 12:00,Letter,1,Notes: Type: Invitation to meet; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
219,270,2026-01-26 12:00,Call,1,Source: Letters
220,504,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
221,504,2026-01-27 12:00,Call,1,Notes: Operator: Brian; Brian took down my information and said he would try to get in touch with Jesse tomorrow.; Source: Letters
222,487,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
223,487,2026-01-27 12:00,Call,1,Notes: Voicemail not set up; Source: Letters
224,360,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
225,360,2026-01-27 12:00,Call,1,Notes: Phone call directs you to the website; Source: Letters
226,751,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
227,751,2026-01-27 12:00,Call,1,Notes: Operator: Jessica; Nick's name not in dial-by-name; Source: Letters
228,510,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
229,510,2026-01-27 12:00,Call,1,Notes: Operator: Ally; Jim is no longer part of the company; Source: Letters
230,696,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
231,696,2026-01-27 12:00,Call,1,Notes: Corporate office phone number doesn't work; Source: Letters
232,265,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
233,265,2026-01-27 12:00,Call,1,"Notes: Operator: Kay Hill; info@seoultaco.com

rachel@seaoultaco.com; Source: Letters"
234,132,2025-12-20 12:00,Letter,1,Notes: Type: Industrials; Letter Status: Sent; Hot Chocolate: No; Source: Letters
235,132,2026-01-27 12:00,Call,1,Notes: Voicemail; Source: Letters
236,152,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
237,152,2026-01-27 12:00,Call,1,Notes: Operator: Stephanie; Voicemail; Source: Letters
238,405,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Status: Responded; Source: Letters
239,598,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Status: Letter returned; Source: Letters
240,740,2025-12-20 12:00,Letter,1,Notes: Type: Chicago; Letter Status: Sent; Hot Chocolate: No; Source: Letters
241,889,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
242,889,2026-02-04 12:00,Call,1,Notes: Voicemail; Source: Letters
243,568,2025-12-20 12:00,Letter,1,Notes: Type: Goals for 2026; Letter Status: Ready; Hot Chocolate: Yes; Source: Letters
244,568,Said to call the week of 2/16/2026 (they're on vacation) 12:00,Call,1,Notes: Operator: Josh;; Source: Letters
245,474,2025-12-20 12:00,Letter,1,Notes: Type: Industrials; Letter Status: Sent; Hot Chocolate: No; Source: Letters
247,716,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
248,248,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Status: Letter Returned; Source: Letters
249,558,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
250,341,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
251,409,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
252,748,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
253,297,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
254,543,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: Yes; Source: Letters
255,543,2026-01-29 12:00,Call,1,Notes: Operator: Racquel; Said to call in next week any time after 8; Source: Letters
256,1001,2025-12-20 12:00,Letter,1,Notes: Type: Introduction; Letter Status: Sent; Hot Chocolate: No; Source: Letters
